record_type,run,epoch,subset,sample_count,seen_sample_count,mean_loss,median_loss,mean_mask_iou,mean_matched_iou,mean_fn,mean_fp,mean_class_error,mean_gt_recall,mean_exposure_multiplier,mean_state_policy_weight,mean_applied_loss_weight_seen,mean_effective_contribution_seen,total_appearances,total_exposure_count,total_effective_contribution,cap_hit_count
checkpoint_trajectory,E3,11,REFERENCE_HARD,33,,194.5746963963364,169.95762634277344,0.0629820426305135,0.08631012837092082,0.9090909090909091,0.18181818181818182,0.0,0.09090909090909091,,,,,,,,
checkpoint_trajectory,E3,12,REFERENCE_HARD,33,,193.6544182517312,163.94805908203125,0.1746609698642384,0.2314425544305281,0.7575757575757576,0.15151515151515152,0.0,0.24242424242424243,,,,,,,,
checkpoint_trajectory,E3,13,REFERENCE_HARD,33,,186.8211274580522,162.49789428710938,0.46126188473267987,0.5618182511040659,0.3939393939393939,0.36363636363636365,0.0,0.6060606060606061,,,,,,,,
checkpoint_trajectory,E3,14,REFERENCE_HARD,33,,184.5262539025509,159.6928253173828,0.5592305633154783,0.6738509011991096,0.2727272727272727,0.24242424242424243,0.0,0.7272727272727273,,,,,,,,
checkpoint_trajectory,E3,0,REFERENCE_MASTERED,43,,0.01945897543783906,0.0055951569229364395,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,1,REFERENCE_MASTERED,43,,0.007922341346572869,0.003089386969804764,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,2,REFERENCE_MASTERED,43,,0.002958102920634109,0.0019094059243798256,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,3,REFERENCE_MASTERED,43,,0.0006147132984086395,0.0004838177701458335,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,4,REFERENCE_MASTERED,43,,0.0006255909240788369,0.0004565877898130566,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,5,REFERENCE_MASTERED,43,,0.0003860363355014733,0.0003377278335392475,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,6,REFERENCE_MASTERED,43,,0.0001921912182804717,0.00015422457363456488,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,7,REFERENCE_MASTERED,43,,0.0001921776452353549,0.00014199750148691237,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,8,REFERENCE_MASTERED,43,,0.0001774849453034031,0.0001341132156085223,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,9,REFERENCE_MASTERED,43,,0.00016673329522492105,0.00013370915257837623,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,10,REFERENCE_MASTERED,43,,0.0002500871731087479,0.0001557775540277362,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,11,REFERENCE_MASTERED,43,,0.00034295907650186224,0.0002362803352298215,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,12,REFERENCE_MASTERED,43,,0.00035335241375642634,0.0002642323379404843,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,13,REFERENCE_MASTERED,43,,0.0005548179104279857,0.00042184977792203426,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,14,REFERENCE_MASTERED,43,,0.00033290799623246974,0.00027578946901485324,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,0,REFERENCE_HARD,33,,409.28651936848956,377.4126892089844,0.017879903316497803,0.027161087050582424,0.9696969696969697,1.696969696969697,0.030303030303030304,0.030303030303030304,,,,,,,,
checkpoint_trajectory,E4,1,REFERENCE_HARD,33,,332.6720918597597,296.7275390625,0.010797284769289421,0.019285982305353336,0.9696969696969697,1.3636363636363635,0.030303030303030304,0.030303030303030304,,,,,,,,
checkpoint_trajectory,E4,2,REFERENCE_HARD,33,,273.4868275035511,250.25772094726562,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,3,REFERENCE_HARD,33,,243.5965349601977,226.04905700683594,0.04528932318542943,0.06927382765394269,0.9090909090909091,1.0909090909090908,0.09090909090909091,0.09090909090909091,,,,,,,,
checkpoint_trajectory,E4,4,REFERENCE_HARD,33,,220.06091909697562,195.7967529296875,0.05814705653624101,0.06792606910069783,0.9090909090909091,1.1515151515151516,0.09090909090909091,0.09090909090909091,,,,,,,,
checkpoint_trajectory,E4,5,REFERENCE_HARD,33,,208.49472323330966,184.45433044433594,0.06565550059983224,0.07135120305148038,0.9090909090909091,1.121212121212121,0.09090909090909091,0.09090909090909091,,,,,,,,
checkpoint_trajectory,E4,6,REFERENCE_HARD,33,,199.55220262932056,174.41412353515625,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,7,REFERENCE_HARD,33,,197.89956364487156,165.50706481933594,0.0,0.0,1.0,0.30303030303030304,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,8,REFERENCE_HARD,33,,191.7464361479788,161.94198608398438,0.0,0.0,1.0,0.30303030303030304,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,9,REFERENCE_HARD,33,,181.72595492276278,160.3646240234375,0.0,0.0,1.0,0.2727272727272727,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,10,REFERENCE_HARD,33,,177.6263094815341,158.1980743408203,0.017303719665064957,0.017445802688598633,0.9696969696969697,0.45454545454545453,0.030303030303030304,0.030303030303030304,,,,,,,,
checkpoint_trajectory,E4,11,REFERENCE_HARD,33,,179.30472564697266,158.90673828125,0.24043560028076172,0.3100191643743804,0.6666666666666666,0.3333333333333333,0.030303030303030304,0.3333333333333333,,,,,,,,
checkpoint_trajectory,E4,12,REFERENCE_HARD,33,,174.40357115774444,157.0972900390625,0.4072660442554589,0.49380562883434875,0.45454545454545453,0.5454545454545454,0.030303030303030304,0.5454545454545454,,,,,,,,
checkpoint_trajectory,E4,13,REFERENCE_HARD,33,,168.39975969719166,152.63555908203125,0.605340304699811,0.7354394323898085,0.21212121212121213,1.3333333333333333,0.0,0.7878787878787878,,,,,,,,
checkpoint_trajectory,E4,14,REFERENCE_HARD,33,,160.86054091020063,147.32447814941406,0.6858898536725477,0.8175148945866209,0.12121212121212122,2.5757575757575757,0.0,0.8787878787878788,,,,,,,,
checkpoint_trajectory,E4,0,REFERENCE_MASTERED,43,,0.024486858135110937,0.0034952410496771336,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,1,REFERENCE_MASTERED,43,,0.009973345370421749,0.0024993950501084328,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,2,REFERENCE_MASTERED,43,,0.008581947191445114,0.0039971754886209965,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,3,REFERENCE_MASTERED,43,,0.011261295305218461,0.006882099900394678,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,4,REFERENCE_MASTERED,43,,0.007774712206514249,0.003631690051406622,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,5,REFERENCE_MASTERED,43,,0.0059522260494833425,0.0031390483491122723,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,6,REFERENCE_MASTERED,43,,0.0015788303213031573,0.0010552667081356049,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,7,REFERENCE_MASTERED,43,,0.00026049053967865403,0.00020610644423868507,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,8,REFERENCE_MASTERED,43,,0.0002598223634481127,0.0002145609469152987,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,9,REFERENCE_MASTERED,43,,0.00027163727459400284,0.00021725274564232677,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,10,REFERENCE_MASTERED,43,,0.0004094249063285154,0.0003307372098788619,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,11,REFERENCE_MASTERED,43,,0.0006105979738031449,0.0003497597936075181,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,12,REFERENCE_MASTERED,43,,0.00174055561669669,0.000930852082092315,0.0,0.0,0.0,0.16279069767441862,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,13,REFERENCE_MASTERED,43,,0.010237283344775827,0.0026420769281685352,0.0,0.0,0.0,0.5116279069767442,0.0,0.0,,,,,,,,
checkpoint_trajectory,E4,14,REFERENCE_MASTERED,43,,0.01972581071543594,0.006989911198616028,0.0,0.0,0.0,0.9767441860465116,0.0,0.0,,,,,,,,
checkpoint_trajectory,E5,0,REFERENCE_HARD,33,,420.4100115226977,417.2666015625,0.017852288303953228,0.026708846742456608,0.9696969696969697,1.5454545454545454,0.030303030303030304,0.030303030303030304,,,,,,,,
checkpoint_trajectory,E5,1,REFERENCE_HARD,33,,335.9841280850497,314.7588806152344,0.0,0.0,1.0,1.0909090909090908,0.0,0.0,,,,,,,,
checkpoint_trajectory,E5,2,REFERENCE_HARD,33,,283.5141374992602,262.63555908203125,0.0,0.0,1.0,0.9696969696969697,0.0,0.0,,,,,,,,
checkpoint_trajectory,E5,3,REFERENCE_HARD,33,,252.71664798620975,219.45941162109375,0.0,0.0,1.0,0.9090909090909091,0.0,0.0,,,,,,,,
checkpoint_trajectory,E5,4,REFERENCE_HARD,33,,225.79932889071378,206.1275177001953,0.015193897666353168,0.018192554965163723,0.9696969696969697,0.7272727272727273,0.030303030303030304,0.030303030303030304,,,,,,,,
checkpoint_trajectory,E5,5,REFERENCE_HARD,33,,212.62729945327297,181.80406188964844,0.037624507239370636,0.04221601739074245,0.9393939393939394,0.9090909090909091,0.06060606060606061,0.06060606060606061,,,,,,,,
checkpoint_trajectory,E5,6,REFERENCE_HARD,33,,199.67670856822622,183.00462341308594,0.014930350310874708,0.018340815197337757,0.9696969696969697,0.48484848484848486,0.030303030303030304,0.030303030303030304,,,,,,,,
checkpoint_trajectory,E5,7,REFERENCE_HARD,33,,194.91941209272906,167.28817749023438,0.015475686752434933,0.01858236031098799,0.9696969696969697,0.2727272727272727,0.030303030303030304,0.030303030303030304,,,,,,,,
checkpoint_trajectory,E5,8,REFERENCE_HARD,33,,186.80170394435072,169.6995391845703,0.0,0.0,1.0,0.15151515151515152,0.0,0.0,,,,,,,,
checkpoint_trajectory,E5,9,REFERENCE_HARD,33,,180.22779268206972,160.7100067138672,0.0,0.0,1.0,0.15151515151515152,0.0,0.0,,,,,,,,
checkpoint_trajectory,E5,10,REFERENCE_HARD,33,,175.64968710234672,158.51681518554688,0.0,0.0,1.0,0.42424242424242425,0.0,0.0,,,,,,,,
checkpoint_trajectory,E5,11,REFERENCE_HARD,33,,173.6262354995265,160.8658447265625,0.13253393498334018,0.17503146872375952,0.8181818181818182,0.21212121212121213,0.0,0.18181818181818182,,,,,,,,
checkpoint_trajectory,E5,12,REFERENCE_HARD,33,,171.43739226370147,154.30332946777344,0.24614890597083353,0.3190867846662348,0.6666666666666666,0.24242424242424243,0.0,0.3333333333333333,,,,,,,,
checkpoint_trajectory,E5,13,REFERENCE_HARD,33,,168.23484617291075,153.735107421875,0.5094894532001379,0.6211135206800519,0.3333333333333333,0.5454545454545454,0.0,0.6666666666666666,,,,,,,,
