record_type,seed,run,metric,value,mean,std,delta_vs_e0
paired_hard_recovery_delta,20260811,E5,mean_loss_improvement,15.716291023023217,28.731200170035322,11.312643210250084,15.716291023023217
paired_hard_recovery_delta,20260812,E5,mean_loss_improvement,36.205609408291906,28.731200170035322,11.312643210250084,36.205609408291906
paired_hard_recovery_delta,20260810,E5,mean_mask_iou_improvement,0.1417547482432741,0.011273745033476076,0.1456900310122462,0.1417547482432741
paired_hard_recovery_delta,20260811,E5,mean_mask_iou_improvement,-0.1459266173117088,0.011273745033476076,0.1456900310122462,-0.1459266173117088
paired_hard_recovery_delta,20260812,E5,mean_mask_iou_improvement,0.03799310416886292,0.011273745033476076,0.1456900310122462,0.03799310416886292
resource_ratio,20260810,E5,hard_to_mastered_appearance_ratio,1.746714456391876,1.7080242547330635,0.04238545304719394,
resource_ratio,20260811,E5,hard_to_mastered_appearance_ratio,1.7146373482113553,1.7080242547330635,0.04238545304719394,
resource_ratio,20260812,E5,hard_to_mastered_appearance_ratio,1.6627209595959593,1.7080242547330635,0.04238545304719394,
resource_ratio,20260810,E5,hard_to_mastered_applied_weight_ratio,0.9903487402240919,1.0028394123305098,0.015190764663488593,
resource_ratio,20260811,E5,hard_to_mastered_applied_weight_ratio,0.998419540284063,1.0028394123305098,0.015190764663488593,
resource_ratio,20260812,E5,hard_to_mastered_applied_weight_ratio,1.0197499564833743,1.0028394123305098,0.015190764663488593,
resource_ratio,20260810,E5,hard_to_mastered_effective_contribution_ratio,2.548253578984297,2.435971941255773,0.12550355576856953,
resource_ratio,20260811,E5,hard_to_mastered_effective_contribution_ratio,2.4591769974090876,2.435971941255773,0.12550355576856953,
resource_ratio,20260812,E5,hard_to_mastered_effective_contribution_ratio,2.300485247373935,2.435971941255773,0.12550355576856953,
gate,,,correctness,PASS,,,
gate,,,resource_mechanisms,PASS,,,
gate,,,algorithm_signal,TARGETED_HARD_LOSS_RECOVERY_WITH_GLOBAL_REGRESSION_NO_DEPLOYMENT,,,
